order_id,amount,profit,quantity,category,payment_method
OR_2110,495.91,182.27,5,Category B,Checks
OR_6802,468.54,55.96,9,Category B,EMI
OR_6686,379.56,110.31,1,Category B,Checks
OR_2798,281.72,83.57,4,Category C,Checks
OR_3842,19.4,8.79,10,Category A,Card
OR_6247,296.1,139.02,9,Category B,Mobile Payment
OR_2311,366.41,94.67,1,Category B,COD
OR_5353,456.19,216.62,6,Category C,COD
OR_6789,15.06,4.17,1,Category C,COD
OR_7167,333.55,39.47,6,Category B,EMI
OR_7206,496.59,216.9,1,Category C,COD
OR_3162,24.03,7.76,1,Category C,COD
OR_509,330.55,108.63,5,Category A,EMI
OR_1095,219.9,76.59,9,Category B,Checks
OR_5850,186.23,70.07,2,Category B,EMI
OR_5820,176.45,80.31,10,Category C,Checks
OR_5852,459.15,122.3,3,Category C,Card
OR_3205,404.29,148.84,3,Category A,COD
OR_7100,294.34,46.75,3,Category C,Checks
OR_5095,47.29,21.13,6,Category C,COD
OR_6362,390.71,129.94,4,Category B,Card
OR_8381,121.93,14.36,1,Category C,Mobile Payment
OR_2974,214.77,63.53,3,Category B,COD
OR_9326,492.83,213.43,9,Category B,COD
OR_8300,158.59,30.93,8,Category A,EMI
OR_4587,481.56,109.69,4,Category B,COD
OR_8916,283.16,82.22,8,Category A,Card
OR_3164,141.66,23.55,10,Category C,Mobile Payment
OR_2555,485.56,70.22,7,Category B,Card
OR_2861,16.78,8.25,7,Category B,EMI
OR_2692,248.55,60.67,5,Category B,Checks
OR_5181,65.03,26.69,4,Category A,Mobile Payment
OR_1475,235.48,45.1,1,Category C,COD
OR_1893,203.33,64.74,2,Category A,Card
OR_1567,87.94,28.81,2,Category B,Card
OR_4616,86.89,41.43,5,Category C,Checks
OR_9622,297.62,31.17,3,Category C,Card
OR_795,125.2,53.46,2,Category A,Card
OR_4076,384.39,50.92,2,Category C,COD
OR_9440,331.56,49.6,8,Category B,Mobile Payment
OR_9101,137.95,50.61,10,Category A,COD
OR_1734,166.65,24.21,4,Category A,Card
OR_6498,246.71,99.12,7,Category C,EMI
OR_6041,63.57,21.82,2,Category A,Checks
OR_4243,188.53,65.65,5,Category A,Mobile Payment
OR_1159,172.8,23.26,6,Category C,COD
OR_6695,117.24,40.74,6,Category C,COD
OR_4726,132.74,38.15,9,Category A,Mobile Payment
OR_408,396.46,145.29,6,Category A,Mobile Payment
OR_6124,258.67,56.65,10,Category A,EMI
OR_2067,15.56,2.0,4,Category A,Card
OR_9671,17.09,7.13,6,Category B,EMI
OR_6757,92.28,16.35,8,Category B,Card
OR_3056,274.45,32.27,1,Category A,COD
OR_934,355.29,128.57,7,Category B,Checks
OR_7407,102.12,32.93,8,Category B,Mobile Payment
OR_311,310.17,87.2,3,Category B,EMI
OR_6454,363.86,43.56,7,Category C,EMI
OR_6796,11.04,3.0,1,Category A,Card
OR_218,423.21,83.64,2,Category C,Card
OR_1045,108.66,32.32,2,Category B,Card
OR_8013,187.23,76.55,8,Category C,Mobile Payment
OR_6473,448.31,117.61,3,Category B,COD
OR_2231,355.01,160.48,3,Category B,Mobile Payment
OR_893,173.49,74.23,3,Category B,COD
OR_4259,421.64,67.7,10,Category A,COD
OR_3205,171.57,75.84,10,Category B,Card
OR_2470,251.41,90.32,8,Category A,Card
OR_5332,362.97,71.71,7,Category B,Card
OR_1795,134.13,26.1,9,Category A,EMI
OR_7492,461.84,106.07,4,Category A,COD
OR_4120,350.95,121.22,4,Category A,Checks
OR_1482,418.69,157.74,5,Category B,COD
OR_1802,198.24,40.7,4,Category B,Mobile Payment
OR_5705,470.13,132.13,9,Category B,Checks
OR_6937,27.0,4.23,2,Category B,Checks
OR_8276,315.69,49.74,7,Category C,Checks
OR_7890,225.64,47.1,8,Category A,Card
OR_6457,332.59,78.44,1,Category A,EMI
OR_4374,18.58,1.94,4,Category C,COD
OR_2854,373.08,109.68,9,Category C,EMI
OR_5950,223.27,50.81,5,Category A,COD
OR_7899,433.61,149.07,6,Category B,Card
OR_9011,474.43,198.56,2,Category A,Card
OR_5864,483.03,124.19,6,Category A,Mobile Payment
OR_965,189.4,50.86,2,Category A,COD
OR_9247,220.06,66.83,7,Category C,Card
OR_6512,65.54,13.76,5,Category B,Mobile Payment
OR_775,44.41,5.71,9,Category C,Mobile Payment
OR_9555,116.35,35.19,1,Category A,Checks
OR_2516,373.36,185.43,1,Category C,EMI
OR_8286,337.12,143.93,2,Category C,Checks
OR_8259,432.93,93.54,8,Category A,Checks
OR_6385,165.72,55.84,8,Category B,EMI
OR_3777,136.92,67.15,2,Category A,Mobile Payment
OR_5118,24.22,10.67,10,Category B,EMI
OR_6868,177.24,23.43,7,Category A,Checks
OR_1681,70.37,14.42,10,Category C,EMI
OR_7449,461.3,47.3,1,Category A,Mobile Payment
OR_2570,19.38,8.6,9,Category B,Card
OR_3381,42.35,13.61,10,Category A,Mobile Payment
OR_8960,15.74,6.12,1,Category A,Checks
OR_4146,355.33,160.99,4,Category B,Mobile Payment
OR_9536,123.29,53.2,2,Category C,COD
OR_1921,459.25,224.19,7,Category C,COD
OR_2893,384.34,56.29,3,Category B,Checks
OR_7838,478.14,111.71,6,Category A,COD
OR_372,368.96,136.13,3,Category A,COD
OR_5700,491.32,127.95,3,Category B,COD
OR_1688,131.61,22.53,9,Category A,Card
OR_1349,80.37,39.76,8,Category A,Mobile Payment
OR_9264,187.07,30.56,5,Category A,EMI
OR_7728,119.59,14.99,8,Category B,Checks
OR_222,164.46,23.85,7,Category A,Checks
OR_9253,239.28,77.38,7,Category C,Mobile Payment
OR_3394,24.72,11.5,1,Category A,Card
OR_9704,313.2,77.63,2,Category A,Checks
OR_3282,498.34,64.85,7,Category B,Checks
OR_3411,486.43,160.14,1,Category C,Mobile Payment
OR_4786,273.01,49.91,9,Category B,Checks
OR_3867,105.46,38.67,8,Category B,Card
OR_722,297.36,42.78,2,Category B,COD
OR_6397,146.34,68.57,9,Category A,EMI
OR_4043,496.98,229.53,4,Category A,Mobile Payment
OR_6863,413.83,44.54,1,Category A,Mobile Payment
OR_80,347.89,158.17,10,Category B,Card
OR_5442,27.29,6.86,9,Category A,EMI
OR_338,165.3,34.39,9,Category B,Mobile Payment
OR_5870,122.53,56.17,5,Category B,Card
OR_4760,424.95,134.24,6,Category B,Card
OR_8845,348.72,137.4,6,Category A,Checks
OR_3338,343.87,141.11,7,Category A,Checks
OR_8327,254.65,62.46,8,Category C,COD
OR_8512,230.89,85.12,3,Category B,Mobile Payment
OR_7950,400.32,131.96,8,Category B,EMI
OR_7731,21.97,5.71,6,Category A,Card
OR_173,385.43,149.01,9,Category B,EMI
OR_6769,403.59,94.93,10,Category B,EMI
OR_2230,122.16,33.38,10,Category C,EMI
OR_5605,99.88,46.78,5,Category B,Checks
OR_5003,366.19,173.52,10,Category A,Card
OR_6166,19.8,2.22,9,Category C,Checks
OR_8388,419.56,76.49,4,Category B,Checks
OR_1207,83.76,31.82,1,Category C,EMI
OR_1667,197.28,77.34,9,Category A,Mobile Payment
OR_1038,317.81,77.48,3,Category C,COD
OR_3218,100.09,32.28,3,Category B,Checks
OR_2559,441.0,142.19,1,Category A,COD
OR_2178,434.02,216.33,5,Category C,Card
OR_3948,392.14,141.69,9,Category B,Checks
OR_806,112.21,28.75,6,Category B,Mobile Payment
OR_9147,158.69,71.37,8,Category B,Checks
OR_4724,229.67,31.13,4,Category C,Card
OR_2732,482.39,175.77,9,Category B,COD
OR_3197,405.48,178.71,5,Category C,EMI
OR_133,199.04,31.79,10,Category B,COD
OR_6368,163.15,48.12,4,Category A,Checks
OR_7009,316.86,144.34,6,Category B,Checks
OR_4108,458.16,113.79,10,Category C,EMI
OR_3646,43.83,8.14,8,Category A,Mobile Payment
OR_4291,495.72,87.79,10,Category B,Checks
OR_6464,474.38,216.19,10,Category B,Checks
OR_870,488.06,151.97,8,Category B,COD
OR_9559,91.33,20.41,5,Category A,COD
OR_6877,359.3,164.66,7,Category B,Mobile Payment
OR_1545,441.56,190.99,7,Category A,Card
OR_8380,474.39,119.36,3,Category C,COD
OR_8500,19.72,2.42,5,Category C,COD
OR_8818,125.72,59.33,4,Category C,COD
OR_2780,330.94,114.37,3,Category A,EMI
OR_8968,176.27,48.39,3,Category C,COD
OR_2269,226.38,25.83,4,Category C,Card
OR_2679,16.11,7.85,10,Category C,Card
OR_9197,176.22,79.38,9,Category C,Mobile Payment
OR_1348,274.03,104.92,4,Category B,Mobile Payment
OR_2896,339.81,125.35,6,Category A,COD
OR_8705,424.29,92.75,6,Category A,EMI
OR_2606,342.31,51.43,7,Category C,COD
OR_1612,250.99,72.39,7,Category B,Mobile Payment
OR_3651,417.56,164.57,8,Category A,COD
OR_2814,388.75,121.75,5,Category A,Mobile Payment
OR_4094,99.12,22.65,5,Category B,Mobile Payment
OR_2678,153.26,65.41,6,Category C,Mobile Payment
OR_129,85.31,8.91,3,Category C,Mobile Payment
OR_7532,169.84,63.2,6,Category B,COD
OR_1545,419.02,108.7,7,Category A,EMI
OR_1152,393.98,102.71,1,Category C,Mobile Payment
OR_7576,15.03,6.02,1,Category C,EMI
OR_919,355.08,163.19,1,Category A,Checks
OR_7202,113.2,29.48,6,Category A,Card
OR_7850,378.51,38.31,9,Category C,COD
OR_1902,351.6,157.4,4,Category A,Card
OR_5716,309.17,146.3,3,Category A,Card
OR_9494,281.71,99.4,6,Category C,COD
OR_1341,317.77,94.61,9,Category A,Mobile Payment
OR_9478,372.65,113.2,4,Category C,EMI
OR_383,221.23,80.83,5,Category C,COD
OR_6532,19.67,4.87,1,Category C,EMI
OR_4076,381.33,101.41,6,Category C,Mobile Payment
OR_7875,328.42,32.97,5,Category A,Mobile Payment
OR_3021,301.12,39.31,4,Category C,Card
OR_6813,471.42,184.63,1,Category A,Checks
OR_1738,109.57,34.85,6,Category C,Card
OR_1802,375.85,120.11,4,Category A,COD
OR_9705,39.16,19.33,5,Category B,Mobile Payment
OR_746,185.39,19.21,1,Category B,COD
OR_1228,241.51,88.74,1,Category B,EMI
OR_6344,461.47,169.57,2,Category B,EMI
OR_1723,281.8,30.02,3,Category C,Mobile Payment
OR_4662,262.95,82.33,6,Category C,Card
OR_8881,272.62,131.91,3,Category B,COD
OR_5547,422.42,150.71,9,Category B,Checks
OR_5965,41.02,11.49,4,Category B,Card
OR_9697,25.8,3.76,8,Category C,COD
OR_7041,244.34,60.45,10,Category B,Checks
OR_2712,462.23,205.23,9,Category C,Checks
OR_4424,183.65,44.28,10,Category C,EMI
OR_2483,51.58,8.35,10,Category C,Card
OR_1099,285.3,91.86,4,Category A,COD
OR_5585,30.33,12.51,10,Category A,Card
OR_8793,403.2,91.94,8,Category A,Card
OR_7650,157.23,24.23,3,Category A,Checks
OR_8500,87.92,35.15,5,Category A,Mobile Payment
OR_7817,444.47,162.38,4,Category B,COD
OR_5011,24.0,5.23,9,Category C,EMI
OR_4469,73.81,34.66,9,Category B,Checks
OR_4109,444.41,221.5,9,Category B,Mobile Payment
OR_6458,273.14,77.46,9,Category C,EMI
OR_4004,170.45,80.26,7,Category C,EMI
OR_8609,387.72,112.85,8,Category C,COD
OR_8831,146.94,51.3,10,Category C,COD
OR_4220,498.1,208.82,6,Category C,Card
OR_7272,177.28,33.39,5,Category C,Checks
OR_5278,265.08,48.84,5,Category B,COD
OR_5950,348.31,63.62,8,Category B,Mobile Payment
OR_6596,69.48,24.96,10,Category B,COD
OR_4209,422.64,200.79,3,Category A,Card
OR_3985,168.67,70.93,2,Category C,Card
OR_515,67.79,12.34,9,Category B,Checks
OR_6526,380.8,129.94,5,Category A,Card
OR_1886,490.75,70.3,7,Category C,COD
OR_2748,50.84,18.37,1,Category C,EMI
OR_8106,309.98,65.61,4,Category A,Card
OR_4471,281.03,137.91,4,Category A,Checks
OR_2946,486.34,152.8,6,Category C,EMI
OR_8612,107.87,48.09,4,Category C,Card
OR_3500,389.96,70.16,3,Category C,Card
OR_3675,155.68,67.95,4,Category A,Checks
OR_1358,385.25,139.42,8,Category C,COD
OR_4784,208.47,71.76,4,Category A,EMI
OR_9533,393.06,169.42,7,Category C,Mobile Payment
OR_5106,152.18,72.16,7,Category B,COD
OR_3437,235.33,70.41,5,Category B,Mobile Payment
OR_5765,97.71,10.33,6,Category B,Checks
OR_269,211.11,80.35,10,Category B,COD
OR_3712,279.36,70.15,4,Category A,EMI
OR_634,429.34,67.61,1,Category C,EMI
OR_8758,66.33,11.45,4,Category C,Checks
OR_7373,220.88,97.06,2,Category C,Card
OR_2141,451.82,46.97,3,Category C,Checks
OR_583,487.81,210.57,8,Category B,COD
OR_8726,136.39,30.04,3,Category B,COD
OR_3017,271.45,120.97,2,Category C,EMI
OR_9178,84.99,9.75,1,Category C,Mobile Payment
OR_5319,398.85,182.62,8,Category B,EMI
OR_6138,337.43,39.71,6,Category B,COD
OR_6914,146.98,36.71,1,Category C,Mobile Payment
OR_2552,68.02,12.42,5,Category B,COD
OR_7874,102.15,13.72,2,Category C,Checks
OR_8069,316.29,120.1,7,Category A,EMI
OR_7056,100.94,42.07,6,Category A,COD
OR_6933,368.62,132.19,9,Category C,Card
OR_6805,26.13,8.74,4,Category B,COD
OR_1172,183.67,19.93,7,Category B,COD
OR_8322,19.58,8.86,3,Category A,Mobile Payment
OR_2455,128.56,46.21,10,Category C,COD
OR_8746,61.69,24.35,9,Category A,COD
OR_3688,70.96,29.07,10,Category A,Checks
OR_9532,452.36,75.91,10,Category C,Mobile Payment
OR_5967,152.05,43.35,5,Category B,Mobile Payment
OR_6187,199.04,51.79,2,Category B,Checks
OR_9645,90.54,25.8,8,Category C,Card
OR_8908,457.52,61.84,8,Category C,EMI
OR_7329,182.56,73.95,4,Category B,EMI
OR_9463,453.75,183.3,7,Category A,Mobile Payment
OR_7362,455.42,78.26,9,Category C,Checks
OR_6340,268.94,64.0,4,Category C,Card
OR_9600,288.81,113.34,2,Category B,Mobile Payment
OR_1473,307.52,126.46,9,Category C,COD
OR_2957,100.23,35.81,4,Category C,COD
OR_802,33.34,9.68,1,Category C,EMI
OR_3506,190.62,83.87,1,Category C,EMI
OR_1582,342.11,73.48,6,Category B,Checks
OR_2804,85.13,33.06,7,Category A,Mobile Payment
OR_9165,345.76,62.48,2,Category B,COD
OR_9378,411.98,110.53,10,Category C,Mobile Payment
OR_4105,180.59,40.04,2,Category B,Mobile Payment
OR_8517,339.82,49.92,6,Category A,COD
OR_6409,223.56,28.93,10,Category B,EMI
OR_5696,453.91,216.7,4,Category C,Card
OR_7647,63.42,6.48,2,Category B,COD
OR_3034,368.55,40.95,6,Category A,Checks
OR_5051,161.61,69.39,1,Category C,Card
OR_8404,408.99,84.92,2,Category C,EMI
OR_4895,463.34,102.77,3,Category A,COD
OR_2589,144.56,41.42,4,Category B,Card
OR_804,359.07,121.67,7,Category C,Mobile Payment
OR_4634,139.05,36.53,5,Category A,Checks
OR_4808,98.89,30.41,6,Category A,Mobile Payment
OR_2437,376.23,122.04,6,Category C,Card
OR_2765,112.59,46.61,6,Category B,Checks
OR_6577,268.93,107.74,3,Category C,Mobile Payment
OR_908,37.36,14.94,3,Category B,EMI
OR_7142,64.27,11.14,7,Category A,Checks
OR_4339,351.02,71.36,6,Category B,COD
OR_5624,298.75,30.93,7,Category B,EMI
OR_493,321.56,106.24,6,Category B,EMI
OR_8510,446.83,202.14,4,Category B,COD
OR_6473,221.34,104.91,9,Category C,EMI
OR_7454,165.79,70.58,2,Category A,Card
OR_5623,424.17,189.59,8,Category A,Card
OR_7541,228.93,38.69,2,Category B,Card
OR_945,407.94,203.62,8,Category A,Checks
OR_5030,81.03,38.14,7,Category B,COD
OR_159,415.33,77.88,5,Category C,Mobile Payment
OR_876,56.72,23.49,5,Category A,Card
OR_6762,412.87,102.93,10,Category B,COD
OR_8171,123.18,17.99,2,Category C,Mobile Payment
OR_3658,38.26,16.31,7,Category B,EMI
OR_1836,83.51,34.25,3,Category C,Mobile Payment
OR_6343,231.33,84.74,5,Category B,EMI
OR_4399,190.7,33.48,4,Category C,Checks
OR_6887,274.72,39.59,8,Category B,EMI
OR_8380,278.63,51.58,4,Category A,Card
OR_4077,342.6,46.66,6,Category C,Checks
OR_927,429.38,49.77,7,Category B,EMI
OR_6806,161.37,18.71,7,Category C,Mobile Payment
OR_5738,198.5,34.39,4,Category C,COD
OR_4228,263.55,86.39,10,Category A,Checks
OR_7614,43.73,5.4,9,Category B,Card
OR_9453,187.22,19.94,6,Category A,Checks
OR_3969,201.34,41.43,1,Category B,EMI
OR_4475,148.35,32.49,8,Category A,Mobile Payment
OR_6736,83.95,27.96,8,Category A,Card
OR_7195,440.26,179.1,10,Category B,Checks
OR_9715,323.32,157.81,6,Category B,Mobile Payment
OR_9582,82.87,24.9,10,Category C,Card
OR_8366,417.06,203.52,6,Category A,COD
OR_4237,85.89,42.1,5,Category A,COD
OR_7764,407.54,81.42,4,Category C,Card
OR_1857,496.84,192.79,8,Category B,Mobile Payment
OR_7961,301.93,122.25,8,Category A,Checks
OR_2047,379.43,159.88,7,Category A,COD
OR_9347,195.97,35.62,5,Category B,EMI
OR_6214,469.92,86.74,10,Category A,COD
OR_6100,390.05,125.67,5,Category B,Card
OR_1891,487.38,230.71,10,Category A,Card
OR_2096,21.21,3.49,5,Category A,EMI
OR_6923,191.54,50.64,6,Category B,Checks
OR_5310,462.27,54.29,5,Category B,Checks
OR_7987,387.1,56.8,9,Category A,Card
OR_8128,387.65,177.75,5,Category A,Mobile Payment
OR_4089,196.65,49.36,5,Category B,Mobile Payment
OR_5535,240.8,97.1,2,Category A,Mobile Payment
OR_3913,310.85,45.19,4,Category B,COD
OR_2586,202.13,46.02,10,Category C,Checks
OR_2709,244.26,99.37,5,Category A,Mobile Payment
OR_6182,211.03,43.33,4,Category A,Mobile Payment
OR_3394,93.23,15.47,8,Category C,EMI
OR_365,75.14,34.34,1,Category C,Mobile Payment
OR_3876,248.42,76.1,1,Category A,EMI
OR_5357,305.47,128.23,6,Category C,Checks
OR_9499,152.76,51.62,5,Category C,COD
OR_8234,126.72,36.1,7,Category B,COD
OR_2483,85.2,16.47,6,Category B,Card
OR_2496,366.59,44.7,3,Category C,Card
OR_167,174.19,35.47,6,Category A,Checks
OR_830,113.54,31.69,4,Category C,COD
OR_3895,403.74,173.91,3,Category C,Checks
OR_4441,458.05,154.12,10,Category A,Mobile Payment
OR_9624,89.75,36.62,5,Category B,COD
OR_4730,305.94,88.24,7,Category C,COD
OR_8687,59.26,17.72,9,Category B,Checks
OR_6855,65.74,21.91,2,Category A,EMI
OR_7252,399.4,166.84,3,Category C,Card
OR_2407,229.27,88.92,4,Category B,Card
OR_681,335.15,143.95,4,Category C,COD
OR_5426,185.4,92.51,3,Category A,Checks
OR_8690,39.12,15.69,3,Category C,Mobile Payment
OR_8246,340.32,166.91,6,Category C,Card
OR_6243,285.23,135.86,6,Category A,EMI
OR_3492,255.93,25.72,8,Category C,COD
OR_312,378.08,112.23,7,Category B,Mobile Payment
OR_9254,330.88,139.4,9,Category B,Checks
OR_9385,412.01,186.83,4,Category B,COD
OR_2942,153.13,23.06,7,Category A,Checks
OR_9672,309.21,89.73,5,Category C,Checks
OR_9164,382.39,118.64,1,Category B,Mobile Payment
OR_757,269.62,68.87,5,Category C,EMI
OR_4645,468.11,173.87,3,Category B,EMI
OR_7792,469.87,213.61,7,Category A,EMI
OR_9523,42.43,9.42,2,Category B,Checks
OR_8754,444.28,105.98,10,Category B,COD
OR_8332,52.57,18.76,5,Category C,COD
OR_5632,451.36,84.01,9,Category A,Mobile Payment
OR_2329,391.85,59.57,7,Category C,Card
OR_3090,463.02,160.34,1,Category B,Mobile Payment
OR_9026,334.33,65.92,3,Category B,Card
OR_8692,94.98,44.76,10,Category B,EMI
OR_7,346.81,87.62,6,Category B,Checks
OR_3134,210.17,103.38,7,Category C,EMI
OR_9734,315.4,73.81,3,Category C,Checks
OR_7333,197.69,38.77,7,Category A,COD
OR_3290,412.79,50.95,6,Category B,COD
OR_4780,497.02,134.16,3,Category A,EMI
OR_2925,136.62,25.72,7,Category A,EMI
OR_7276,430.67,128.35,1,Category C,COD
OR_7986,28.65,8.49,1,Category A,Checks
OR_3994,472.31,223.28,1,Category A,Mobile Payment
OR_9370,412.83,147.84,1,Category B,EMI
OR_4997,377.17,40.6,10,Category C,Mobile Payment
OR_6247,241.69,90.1,7,Category A,EMI
OR_4806,361.06,145.5,9,Category C,COD
OR_1685,263.86,111.9,3,Category A,Checks
OR_4730,303.07,143.83,10,Category A,Card
OR_1869,65.52,28.77,7,Category B,Checks
OR_3314,402.34,120.72,10,Category C,Checks
OR_5601,256.57,29.22,8,Category A,Checks
OR_668,376.86,94.39,9,Category C,Checks
OR_4671,291.36,128.91,3,Category C,Card
OR_3912,269.51,61.25,1,Category B,COD
OR_2226,486.38,163.46,3,Category B,Checks
OR_896,139.11,27.35,5,Category B,Card
OR_8095,79.32,27.94,5,Category B,Mobile Payment
OR_3945,38.98,7.11,4,Category C,EMI
OR_3379,51.68,12.78,6,Category B,Mobile Payment
OR_1830,436.71,213.91,6,Category A,Mobile Payment
OR_9278,286.77,123.17,5,Category B,Card
OR_6973,295.82,127.87,3,Category B,COD
OR_7066,442.92,82.93,5,Category B,COD
OR_2721,24.64,10.6,8,Category A,Checks
OR_5024,307.43,125.3,9,Category A,Card
OR_482,193.88,41.8,6,Category B,Mobile Payment
OR_6539,384.5,162.69,6,Category A,EMI
OR_8307,313.39,78.44,1,Category A,COD
OR_6353,123.65,58.06,5,Category C,EMI
OR_2243,400.53,114.66,5,Category A,Card
OR_8267,480.55,239.55,5,Category A,COD
OR_4761,109.93,30.99,5,Category C,EMI
OR_9232,476.96,48.06,7,Category B,Card
OR_9655,151.17,47.63,7,Category B,EMI
OR_5486,338.52,82.3,8,Category B,Card
OR_7307,17.67,5.33,10,Category C,COD
OR_5890,337.93,118.7,7,Category B,Checks
OR_5180,122.62,44.34,2,Category C,Card
OR_8757,426.72,126.75,9,Category A,COD
OR_3714,492.6,202.75,1,Category B,EMI
OR_8106,316.26,99.87,9,Category A,Mobile Payment
OR_3639,467.52,105.24,5,Category B,EMI
OR_5970,386.42,121.84,3,Category C,Checks
OR_2963,83.13,30.14,3,Category B,Mobile Payment
OR_4413,449.6,130.54,5,Category A,Checks
OR_2438,178.58,55.11,7,Category C,EMI
OR_7703,479.38,66.56,7,Category C,Card
OR_1670,205.08,39.32,7,Category B,Mobile Payment
OR_278,59.0,25.22,4,Category A,Card
OR_4107,423.02,208.09,5,Category B,Mobile Payment
OR_4413,447.27,167.42,7,Category A,Checks
OR_9341,403.62,159.35,5,Category A,Mobile Payment
OR_5412,313.5,37.67,10,Category C,Checks
OR_8654,199.01,49.48,5,Category C,Checks
OR_5112,258.99,51.26,3,Category A,Card
OR_5481,404.11,183.62,5,Category A,COD
OR_1968,472.95,188.26,7,Category B,Card
OR_8785,55.75,20.21,3,Category B,Mobile Payment
OR_9448,304.85,107.04,2,Category C,Card
OR_6815,431.85,103.74,6,Category C,Checks
OR_6599,293.5,62.49,10,Category C,EMI
OR_5623,317.58,101.1,8,Category C,Checks
OR_8727,219.5,64.36,4,Category C,COD
OR_3046,171.48,69.92,10,Category B,Card
OR_7639,111.91,44.47,2,Category B,COD
OR_7783,431.8,165.51,4,Category A,Card
OR_5717,255.91,68.79,5,Category B,Checks
OR_6695,118.04,21.55,1,Category B,Mobile Payment
OR_3699,34.54,15.09,10,Category C,EMI
OR_6656,162.91,64.86,5,Category B,Mobile Payment
OR_4667,85.64,29.37,9,Category C,Checks
OR_5243,461.72,80.31,10,Category C,Mobile Payment
OR_7799,49.02,20.36,2,Category B,EMI
OR_4381,329.25,138.19,3,Category C,EMI
OR_2928,184.41,59.0,8,Category A,EMI
OR_3009,284.53,68.54,3,Category B,Checks
OR_9399,223.73,98.78,8,Category A,COD
OR_9558,231.83,109.93,1,Category A,Mobile Payment
OR_8200,345.19,135.21,4,Category A,Mobile Payment
OR_3564,167.22,55.89,10,Category C,Checks
OR_4647,74.77,31.56,9,Category C,Card
OR_8180,241.43,103.43,4,Category C,EMI
OR_1998,100.71,11.63,2,Category B,EMI
OR_9025,130.89,23.78,5,Category C,EMI
OR_1967,190.28,88.37,8,Category B,Card
OR_3652,10.51,3.04,7,Category B,COD
OR_5063,123.39,53.85,5,Category A,EMI
OR_8908,275.59,102.57,9,Category A,Card
OR_6463,78.44,38.89,6,Category B,EMI
OR_929,206.18,28.88,10,Category C,Card
OR_303,36.03,6.02,4,Category B,Mobile Payment
OR_5237,330.61,147.96,10,Category B,Checks
OR_5574,88.95,17.92,4,Category B,COD
OR_519,341.3,129.96,6,Category C,Mobile Payment
OR_395,87.01,18.75,2,Category A,Mobile Payment
OR_4886,43.09,6.02,10,Category B,EMI
OR_6905,188.8,66.73,6,Category B,Checks
OR_7457,469.44,99.08,5,Category B,Checks
OR_7600,305.04,128.89,7,Category C,Checks
OR_5601,397.75,117.94,6,Category B,EMI
OR_2934,299.18,149.45,4,Category A,Mobile Payment
OR_5693,399.76,80.89,5,Category A,Checks
OR_353,160.15,20.08,2,Category C,Checks
OR_2468,273.39,134.17,4,Category B,Mobile Payment
OR_3578,110.58,44.42,1,Category C,Card
OR_3253,312.61,100.68,10,Category A,Checks
OR_6827,175.85,68.09,1,Category B,Checks
OR_8309,98.04,35.8,1,Category C,Card
OR_4008,96.47,26.72,9,Category A,COD
OR_3111,470.44,187.67,2,Category C,Card
OR_1903,243.97,53.49,3,Category B,Checks
OR_1922,60.31,16.76,5,Category A,COD
OR_3080,200.02,77.8,5,Category C,COD
OR_3034,10.42,3.99,4,Category A,Card
OR_4929,342.86,156.08,10,Category A,COD
OR_6268,15.08,3.12,7,Category A,EMI
OR_5357,439.24,48.89,8,Category C,COD
OR_2901,261.48,106.18,6,Category B,COD
OR_4370,251.7,51.8,1,Category B,COD
OR_4093,301.5,142.37,3,Category A,Checks
OR_84,292.67,40.27,8,Category C,Mobile Payment
OR_5875,148.27,60.08,7,Category B,Card
OR_9372,50.01,14.63,4,Category C,Card
OR_2316,417.08,83.32,6,Category B,Checks
OR_8102,288.81,46.72,5,Category C,Checks
OR_8754,491.19,100.06,6,Category B,Card
OR_5539,427.78,180.6,4,Category A,Mobile Payment
OR_3715,262.64,35.1,3,Category A,Checks
OR_1638,355.35,115.65,2,Category B,Mobile Payment
OR_5726,361.05,105.17,6,Category B,Checks
OR_9244,412.44,111.82,1,Category C,Checks
OR_4295,235.62,109.5,4,Category C,Checks
OR_4556,427.81,133.13,8,Category B,Mobile Payment
OR_8713,74.9,12.95,9,Category A,Card
OR_6438,149.22,65.21,2,Category B,COD
OR_4134,118.95,55.89,7,Category B,Mobile Payment
OR_9107,405.39,159.8,7,Category A,Card
OR_2844,331.13,57.24,8,Category B,COD
OR_8389,33.77,5.91,3,Category B,COD
OR_3954,75.23,16.1,9,Category A,EMI
OR_4392,21.73,7.33,6,Category B,Mobile Payment
OR_4566,497.99,223.52,2,Category C,EMI
OR_2676,439.72,142.22,5,Category A,Mobile Payment
OR_6622,342.73,139.98,4,Category C,Card
OR_7452,272.34,66.09,7,Category C,Checks
OR_6409,351.02,141.25,5,Category C,EMI
OR_7561,18.35,6.75,2,Category A,COD
OR_677,425.9,84.35,6,Category B,EMI
OR_4576,67.23,11.61,9,Category A,EMI
OR_1012,106.4,14.85,6,Category A,Checks
OR_7695,195.59,97.38,4,Category C,Checks
OR_4650,327.72,119.2,3,Category B,Card
OR_5057,344.32,90.12,7,Category B,Card
OR_9671,392.57,186.59,2,Category A,COD
OR_9065,98.89,37.78,9,Category C,EMI
OR_6488,232.15,103.85,4,Category C,EMI
OR_5765,33.34,14.85,6,Category C,COD
OR_2160,232.34,87.47,3,Category C,Checks
OR_6235,307.14,60.03,9,Category C,Checks
